collegetier,par_mean,kid_mean,k_q1,k_q2,k_q3,k_q4,k_q5
2,417732.294,66137.83048,0.091680683,0.091313496,0.11833695,0.20164418,0.49702471
2,143460.5724,81825.16795,0.10903069,0.12297237,0.072851643,0.1147646,0.58038074
2,493919.26,91436.98012,0.091433942,0.088130057,0.10380852,0.18301053,0.53361702
2,379558.8261,102596.1808,0.096111953,0.074384511,0.084063366,0.15429376,0.59114647
2,281373.8709,70874.24341,0.091610968,0.095992491,0.10261257,0.19549838,0.51428568
2,293372.1622,80767.9887,0.09438397,0.084057316,0.08367078,0.1652469,0.57264096
2,497298.8292,127901.4868,0.080047123,0.062138651,0.058286183,0.1139925,0.68553549
2,333233.7669,88339.8784,0.087373525,0.080916345,0.086327314,0.19944517,0.54593766
2,207971.9583,109616.2766,0.082202755,0.055928871,0.064991489,0.11726811,0.67960876
2,299314.8135,102954.6524,0.088103056,0.084835462,0.10916776,0.20517005,0.51272368
2,285199.6829,105184.7593,0.075862229,0.070019662,0.077815339,0.127267,0.64903575
2,360158.4906,65627.21874,0.10139073,0.12832604,0.13056898,0.22908391,0.41063035
2,290379.4022,90217.33533,0.078968495,0.054823272,0.059450127,0.1425035,0.66425455
2,291534.8066,103248.7495,0.079477139,0.0529835,0.058242157,0.12024221,0.68905509
2,190321.2447,56736.68291,0.078868076,0.10868858,0.15738727,0.28198695,0.37306911
2,551968.1541,98359.42874,0.080736347,0.10232263,0.10077897,0.1625351,0.55362695
2,294568.5741,88411.62978,0.11201625,0.11301687,0.10183801,0.15403171,0.51909721
2,350349.7654,106181.6748,0.083343737,0.078609198,0.082412384,0.13566163,0.61997312
2,265150.7119,46274.05327,0.11395092,0.18372673,0.16411453,0.23756698,0.30064088
2,254125.5501,58066.14856,0.1094578,0.12872306,0.12722774,0.20661175,0.42797962
2,324439.5016,90406.20437,0.085575879,0.090341687,0.091381244,0.17635235,0.5563488
2,283207.8473,47138.4308,0.14014518,0.16932544,0.1636202,0.19673353,0.33017558
2,150922.5687,95497.0649,0.055713281,0.041937143,0.041579582,0.11135396,0.74941611
2,238987.4733,110518.0824,0.070985422,0.074024767,0.07617265,0.13217261,0.64664453
2,136282.0313,95357.92448,0.051972825,0.038529228,0.057134457,0.087728888,0.76463461
2,254753.8226,54995.78644,0.15172443,0.13680701,0.089854211,0.22166428,0.39995009
2,275097.1185,79261.08806,0.084713168,0.099444769,0.11325121,0.20200431,0.50058651
2,370105.7197,97354.6188,0.072678879,0.065161467,0.079765424,0.14161126,0.64078301
2,171784.8011,82856.58801,0.10246139,0.089196116,0.076875128,0.14153989,0.58992743
2,211065.5539,76748.49737,0.10353453,0.10093923,0.11410338,0.19362891,0.48779401
2,221587.9761,74835.96752,0.095153362,0.0895079,0.10975216,0.22010759,0.48547903
2,331770.9155,111395.2141,0.076928161,0.052123889,0.063563168,0.13726205,0.67012268
2,355367.9688,99307.05547,0.091171473,0.064201303,0.068693906,0.16801724,0.60791612
2,199434.7158,78104.43809,0.069921628,0.094077393,0.095761299,0.18077436,0.55946529
2,285910.4066,92409.22639,0.10807019,0.094096124,0.088566616,0.14695829,0.56230873
2,264071.6652,101595.3226,0.081763744,0.066152968,0.07763321,0.15494743,0.61950266
